"","features","fold"
"305","F3bandwidth_sma3nz_stddevNorm","5"
"306","F3amplitudeLogRelF0_sma3nz_amean","5"
"307","alphaRatioV_sma3nz_amean","5"
"308","alphaRatioV_sma3nz_stddevNorm","5"
"309","hammarbergIndexV_sma3nz_stddevNorm","5"
"310","slopeV0-500_sma3nz_amean","5"
"311","slopeV0-500_sma3nz_stddevNorm","5"
"312","slopeV500-1500_sma3nz_amean","5"
"313","spectralFluxV_sma3nz_amean","5"
"314","spectralFluxV_sma3nz_stddevNorm","5"
"315","mfcc1V_sma3nz_amean","5"
"316","mfcc1V_sma3nz_stddevNorm","5"
"317","mfcc2V_sma3nz_amean","5"
"318","mfcc3V_sma3nz_amean","5"
"319","mfcc3V_sma3nz_stddevNorm","5"
"320","mfcc4V_sma3nz_amean","5"
"321","alphaRatioUV_sma3nz_amean","5"
"322","hammarbergIndexUV_sma3nz_amean","5"
"323","slopeUV0-500_sma3nz_amean","5"
"324","slopeUV500-1500_sma3nz_amean","5"
"325","spectralFluxUV_sma3nz_amean","5"
"326","loudnessPeaksPerSec","5"
"327","VoicedSegmentsPerSec","5"
"328","MeanVoicedSegmentLengthSec","5"
"329","StddevVoicedSegmentLengthSec","5"
"330","MeanUnvoicedSegmentLength","5"
"331","StddevUnvoicedSegmentLength","5"
"332","equivalentSoundLevel_dBp","5"
