"","features","fold"
"180","F3amplitudeLogRelF0_sma3nz_amean","3"
"181","F3amplitudeLogRelF0_sma3nz_stddevNorm","3"
"182","alphaRatioV_sma3nz_amean","3"
"183","alphaRatioV_sma3nz_stddevNorm","3"
"184","hammarbergIndexV_sma3nz_amean","3"
"185","hammarbergIndexV_sma3nz_stddevNorm","3"
"186","slopeV0-500_sma3nz_amean","3"
"187","slopeV0-500_sma3nz_stddevNorm","3"
"188","slopeV500-1500_sma3nz_stddevNorm","3"
"189","spectralFluxV_sma3nz_amean","3"
"190","spectralFluxV_sma3nz_stddevNorm","3"
"191","mfcc1V_sma3nz_amean","3"
"192","mfcc1V_sma3nz_stddevNorm","3"
"193","mfcc2V_sma3nz_amean","3"
"194","mfcc2V_sma3nz_stddevNorm","3"
"195","mfcc4V_sma3nz_amean","3"
"196","mfcc4V_sma3nz_stddevNorm","3"
"197","alphaRatioUV_sma3nz_amean","3"
"198","hammarbergIndexUV_sma3nz_amean","3"
"199","slopeUV0-500_sma3nz_amean","3"
"200","slopeUV500-1500_sma3nz_amean","3"
"201","loudnessPeaksPerSec","3"
"202","VoicedSegmentsPerSec","3"
"203","MeanVoicedSegmentLengthSec","3"
"204","StddevVoicedSegmentLengthSec","3"
"205","MeanUnvoicedSegmentLength","3"
"206","equivalentSoundLevel_dBp","3"
"207","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","4"
"208","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","4"
"209","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","4"
"210","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","4"
"211","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","4"
"212","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","4"
"213","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","4"
"214","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","4"
"215","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","4"
"216","loudness_sma3_amean","4"
"217","loudness_sma3_percentile20.0","4"
"218","loudness_sma3_percentile50.0","4"
"219","loudness_sma3_meanRisingSlope","4"
"220","loudness_sma3_stddevRisingSlope","4"
"221","loudness_sma3_meanFallingSlope","4"
"222","loudness_sma3_stddevFallingSlope","4"
"223","spectralFlux_sma3_amean","4"
"224","mfcc1_sma3_amean","4"
"225","mfcc1_sma3_stddevNorm","4"
"226","mfcc2_sma3_amean","4"
"227","mfcc3_sma3_amean","4"
"228","mfcc3_sma3_stddevNorm","4"
"229","mfcc4_sma3_amean","4"
"230","jitterLocal_sma3nz_amean","4"
"231","jitterLocal_sma3nz_stddevNorm","4"
"232","shimmerLocaldB_sma3nz_amean","4"
"233","shimmerLocaldB_sma3nz_stddevNorm","4"
"234","HNRdBACF_sma3nz_amean","4"
"235","logRelF0-H1-H2_sma3nz_amean","4"
