"","features","fold"
"225","mfcc1_sma3_amean","4"
"226","mfcc1_sma3_stddevNorm","4"
"227","mfcc2_sma3_amean","4"
"228","mfcc3_sma3_amean","4"
"229","mfcc3_sma3_stddevNorm","4"
"230","mfcc4_sma3_amean","4"
"231","jitterLocal_sma3nz_amean","4"
"232","jitterLocal_sma3nz_stddevNorm","4"
"233","shimmerLocaldB_sma3nz_amean","4"
"234","shimmerLocaldB_sma3nz_stddevNorm","4"
"235","HNRdBACF_sma3nz_amean","4"
"236","logRelF0-H1-H2_sma3nz_amean","4"
"237","logRelF0-H1-A3_sma3nz_amean","4"
"238","logRelF0-H1-A3_sma3nz_stddevNorm","4"
"239","F1frequency_sma3nz_stddevNorm","4"
"240","F1bandwidth_sma3nz_amean","4"
"241","F1bandwidth_sma3nz_stddevNorm","4"
"242","F1amplitudeLogRelF0_sma3nz_amean","4"
"243","F1amplitudeLogRelF0_sma3nz_stddevNorm","4"
"244","F2frequency_sma3nz_amean","4"
"245","F2frequency_sma3nz_stddevNorm","4"
"246","F2bandwidth_sma3nz_amean","4"
"247","F2amplitudeLogRelF0_sma3nz_amean","4"
"248","F2amplitudeLogRelF0_sma3nz_stddevNorm","4"
"249","F3frequency_sma3nz_amean","4"
"250","F3frequency_sma3nz_stddevNorm","4"
"251","F3bandwidth_sma3nz_amean","4"
"252","F3bandwidth_sma3nz_stddevNorm","4"
"253","F3amplitudeLogRelF0_sma3nz_amean","4"
"254","F3amplitudeLogRelF0_sma3nz_stddevNorm","4"
"255","hammarbergIndexV_sma3nz_amean","4"
"256","hammarbergIndexV_sma3nz_stddevNorm","4"
"257","slopeV0-500_sma3nz_amean","4"
"258","slopeV0-500_sma3nz_stddevNorm","4"
"259","slopeV500-1500_sma3nz_amean","4"
"260","slopeV500-1500_sma3nz_stddevNorm","4"
"261","spectralFluxV_sma3nz_amean","4"
"262","spectralFluxV_sma3nz_stddevNorm","4"
"263","mfcc1V_sma3nz_amean","4"
"264","mfcc1V_sma3nz_stddevNorm","4"
"265","mfcc2V_sma3nz_amean","4"
"266","mfcc2V_sma3nz_stddevNorm","4"
"267","mfcc3V_sma3nz_amean","4"
"268","mfcc4V_sma3nz_amean","4"
