"","features","fold"
"173","F2amplitudeLogRelF0_sma3nz_amean","3"
"174","F3frequency_sma3nz_stddevNorm","3"
"175","F3bandwidth_sma3nz_amean","3"
"176","F3bandwidth_sma3nz_stddevNorm","3"
"177","F3amplitudeLogRelF0_sma3nz_amean","3"
"178","F3amplitudeLogRelF0_sma3nz_stddevNorm","3"
"179","alphaRatioV_sma3nz_amean","3"
"180","alphaRatioV_sma3nz_stddevNorm","3"
"181","hammarbergIndexV_sma3nz_amean","3"
"182","hammarbergIndexV_sma3nz_stddevNorm","3"
"183","slopeV0-500_sma3nz_amean","3"
"184","slopeV0-500_sma3nz_stddevNorm","3"
"185","slopeV500-1500_sma3nz_amean","3"
"186","spectralFluxV_sma3nz_amean","3"
"187","spectralFluxV_sma3nz_stddevNorm","3"
"188","mfcc1V_sma3nz_amean","3"
"189","mfcc1V_sma3nz_stddevNorm","3"
"190","mfcc2V_sma3nz_amean","3"
"191","mfcc3V_sma3nz_amean","3"
"192","mfcc3V_sma3nz_stddevNorm","3"
"193","mfcc4V_sma3nz_amean","3"
"194","alphaRatioUV_sma3nz_amean","3"
"195","hammarbergIndexUV_sma3nz_amean","3"
"196","slopeUV0-500_sma3nz_amean","3"
"197","slopeUV500-1500_sma3nz_amean","3"
"198","spectralFluxUV_sma3nz_amean","3"
"199","loudnessPeaksPerSec","3"
"200","MeanVoicedSegmentLengthSec","3"
"201","StddevVoicedSegmentLengthSec","3"
"202","MeanUnvoicedSegmentLength","3"
"203","equivalentSoundLevel_dBp","3"
"204","F0semitoneFrom27.5Hz_sma3nz_amean","4"
"205","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","4"
"206","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","4"
"207","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","4"
"208","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","4"
"209","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","4"
"210","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","4"
"211","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","4"
"212","loudness_sma3_stddevNorm","4"
"213","loudness_sma3_percentile20.0","4"
"214","loudness_sma3_percentile50.0","4"
"215","loudness_sma3_percentile80.0","4"
"216","loudness_sma3_meanRisingSlope","4"
"217","loudness_sma3_meanFallingSlope","4"
"218","spectralFlux_sma3_amean","4"
"219","spectralFlux_sma3_stddevNorm","4"
"220","mfcc1_sma3_amean","4"
"221","mfcc1_sma3_stddevNorm","4"
"222","mfcc2_sma3_amean","4"
"223","mfcc2_sma3_stddevNorm","4"
"224","mfcc3_sma3_amean","4"
"225","mfcc3_sma3_stddevNorm","4"
"226","mfcc4_sma3_amean","4"
"227","jitterLocal_sma3nz_amean","4"
"228","jitterLocal_sma3nz_stddevNorm","4"
"229","shimmerLocaldB_sma3nz_stddevNorm","4"
"230","HNRdBACF_sma3nz_amean","4"
"231","logRelF0-H1-H2_sma3nz_amean","4"
"232","logRelF0-H1-H2_sma3nz_stddevNorm","4"
"233","logRelF0-H1-A3_sma3nz_amean","4"
"234","logRelF0-H1-A3_sma3nz_stddevNorm","4"
"235","F1frequency_sma3nz_stddevNorm","4"
"236","F1amplitudeLogRelF0_sma3nz_amean","4"
"237","F1amplitudeLogRelF0_sma3nz_stddevNorm","4"
"238","F2frequency_sma3nz_stddevNorm","4"
"239","F2bandwidth_sma3nz_amean","4"
"240","F2bandwidth_sma3nz_stddevNorm","4"
"241","F2amplitudeLogRelF0_sma3nz_amean","4"
"242","F2amplitudeLogRelF0_sma3nz_stddevNorm","4"
"243","F3frequency_sma3nz_stddevNorm","4"
"244","F3bandwidth_sma3nz_amean","4"
"245","F3bandwidth_sma3nz_stddevNorm","4"
"246","F3amplitudeLogRelF0_sma3nz_amean","4"
"247","F3amplitudeLogRelF0_sma3nz_stddevNorm","4"
"248","alphaRatioV_sma3nz_amean","4"
"249","alphaRatioV_sma3nz_stddevNorm","4"
"250","hammarbergIndexV_sma3nz_amean","4"
"251","hammarbergIndexV_sma3nz_stddevNorm","4"
"252","slopeV0-500_sma3nz_amean","4"
"253","slopeV500-1500_sma3nz_amean","4"
"254","spectralFluxV_sma3nz_amean","4"
"255","mfcc1V_sma3nz_amean","4"
"256","mfcc1V_sma3nz_stddevNorm","4"
"257","mfcc2V_sma3nz_amean","4"
"258","mfcc4V_sma3nz_amean","4"
"259","alphaRatioUV_sma3nz_amean","4"
"260","hammarbergIndexUV_sma3nz_amean","4"
"261","slopeUV0-500_sma3nz_amean","4"
"262","spectralFluxUV_sma3nz_amean","4"
"263","loudnessPeaksPerSec","4"
"264","VoicedSegmentsPerSec","4"
"265","MeanVoicedSegmentLengthSec","4"
"266","StddevVoicedSegmentLengthSec","4"
"267","MeanUnvoicedSegmentLength","4"
"268","StddevUnvoicedSegmentLength","4"
"269","equivalentSoundLevel_dBp","4"
"270","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","5"
"271","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","5"
"272","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","5"
"273","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","5"
"274","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","5"
"275","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","5"
"276","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","5"
"277","loudness_sma3_stddevNorm","5"
"278","loudness_sma3_percentile20.0","5"
"279","loudness_sma3_pctlrange0-2","5"
"280","loudness_sma3_meanRisingSlope","5"
"281","loudness_sma3_stddevRisingSlope","5"
"282","loudness_sma3_meanFallingSlope","5"
"283","loudness_sma3_stddevFallingSlope","5"
"284","spectralFlux_sma3_amean","5"
"285","spectralFlux_sma3_stddevNorm","5"
"286","mfcc1_sma3_amean","5"
"287","mfcc1_sma3_stddevNorm","5"
"288","mfcc2_sma3_amean","5"
"289","mfcc2_sma3_stddevNorm","5"
"290","mfcc3_sma3_amean","5"
"291","mfcc3_sma3_stddevNorm","5"
"292","mfcc4_sma3_amean","5"
"293","jitterLocal_sma3nz_amean","5"
"294","jitterLocal_sma3nz_stddevNorm","5"
"295","shimmerLocaldB_sma3nz_amean","5"
"296","shimmerLocaldB_sma3nz_stddevNorm","5"
"297","HNRdBACF_sma3nz_amean","5"
"298","HNRdBACF_sma3nz_stddevNorm","5"
"299","logRelF0-H1-H2_sma3nz_amean","5"
"300","logRelF0-H1-H2_sma3nz_stddevNorm","5"
"301","logRelF0-H1-A3_sma3nz_stddevNorm","5"
"302","F1frequency_sma3nz_stddevNorm","5"
"303","F1bandwidth_sma3nz_amean","5"
"304","F1bandwidth_sma3nz_stddevNorm","5"
"305","F1amplitudeLogRelF0_sma3nz_amean","5"
"306","F2frequency_sma3nz_stddevNorm","5"
"307","F2bandwidth_sma3nz_amean","5"
